C1,C2,C3,C4,C5
0.217397124,0.217397799,0.202262337,0.286732023,0.076210717
0.243962862,0.243963196,0.209913675,0.177530748,0.124629519
0.215465654,0.215466667,0.295690673,0.166345728,0.107031278
0.221043936,0.221043125,0.143772876,0.170613307,0.243526756
0.213430207,0.213429579,0.152263449,0.167168061,0.253708705
0.235324627,0.235323434,0.123461986,0.226871168,0.179018785
0.201599278,0.201598873,0.158018973,0.142674048,0.296108828
0.216384519,0.216383889,0.152196303,0.171525506,0.243509783
0.235659438,0.235658354,0.13436957,0.192223943,0.202088696
0.216354025,0.216353709,0.164365078,0.187238256,0.215688932
0.240387022,0.240385916,0.127797218,0.195556219,0.195873625
0.190961826,0.190962755,0.385431894,0.112831674,0.11981185
0.179790035,0.179791071,0.437020563,0.103605908,0.099792423
0.193881129,0.193882044,0.372810616,0.112879245,0.126546967
0.197874838,0.197875774,0.363616083,0.113094479,0.127538826
0.171695672,0.171696654,0.458082316,0.103236468,0.09528889
0.202645219,0.202645967,0.321142417,0.123729467,0.14983693
0.199420623,0.199421559,0.362364309,0.123708633,0.115084876
0.197344995,0.197345847,0.354130823,0.118781403,0.132396932
0.207839742,0.207840492,0.309090825,0.132225417,0.143003525
0.180696489,0.180697551,0.434111682,0.118004845,0.086489433
0.133748064,0.133749165,0.606574556,0.066337752,0.059590463
0.136114871,0.136115931,0.593797679,0.073103868,0.060867652
0.167845394,0.167846736,0.487731436,0.120250947,0.056325486
0.14802707,0.1480282,0.555971395,0.078624772,0.069348563
0.210304066,0.210306002,0.402092624,0.071416845,0.105880463
0.132874109,0.132875136,0.600150099,0.072664328,0.061436328
0.157953543,0.157954866,0.534798095,0.0917038,0.057589697
0.205783675,0.205785483,0.410159552,0.075689385,0.102581906
0.14330022,0.143301252,0.561816545,0.084226565,0.067355418
0.150833476,0.150834801,0.555118132,0.091093798,0.052119793
0.17784345,0.177844797,0.47378857,0.083137763,0.08738542
0.138736859,0.138738172,0.604977403,0.065949734,0.051597831
0.152434008,0.152435234,0.551036241,0.075607875,0.068486643
0.133431523,0.13343273,0.613602875,0.070564823,0.04896805
0.136406959,0.136408061,0.596218413,0.066052618,0.064913948
0.131528481,0.131529514,0.607134533,0.068046333,0.06176114
0.154001643,0.154002851,0.533785515,0.103773993,0.054435999
0.153785158,0.153786254,0.536206222,0.079032244,0.077190123
0.145681111,0.145682352,0.566578173,0.092600165,0.049458199
0.157738267,0.157739361,0.522549011,0.082083711,0.07988965
0.161217875,0.161218929,0.505988453,0.088986293,0.082588451
0.144449472,0.144450722,0.57057446,0.091032995,0.049492351
0.13162842,0.131629613,0.620376362,0.067104355,0.04926125
0.125220433,0.125221592,0.634733344,0.071818006,0.043006625
0.202499617,0.202500576,0.355043712,0.121510098,0.118445997
0.147242987,0.147243939,0.543286304,0.088403919,0.073822851
0.164584864,0.164585739,0.470306316,0.098075862,0.102447219
0.177105186,0.177105982,0.410108955,0.115367652,0.120312225
0.168725105,0.168724528,0.11052868,0.100640498,0.45138119
0.187613923,0.187613528,0.126128481,0.103890799,0.394753268
0.190277379,0.190277035,0.138267565,0.1192247,0.361953321
0.219452586,0.219451597,0.110827841,0.133961407,0.31630657
0.198071105,0.198070313,0.109858357,0.116261007,0.377739217
0.183415079,0.183414595,0.109208127,0.094247022,0.429715178
0.16825389,0.168253168,0.099406815,0.095055376,0.469030751
0.162973544,0.162972893,0.10006328,0.093650054,0.480340229
0.164296486,0.164295806,0.097102986,0.093874131,0.480430592
0.169293187,0.169292601,0.107743783,0.100440985,0.453229444
0.140915092,0.140914254,0.06952299,0.072860971,0.575786694
0.140840952,0.140840113,0.073533005,0.075867498,0.56891843
0.139080462,0.13907975,0.07853333,0.076718042,0.566588416
0.154325631,0.154324978,0.08935883,0.083933114,0.518057447
0.210717276,0.210716564,0.129281061,0.152628199,0.2966569
0.237906025,0.237904867,0.114912528,0.20033234,0.20894424
0.169751224,0.169750765,0.116509699,0.097884316,0.446103996
0.179768991,0.179768693,0.138394675,0.109157391,0.39291025
0.173606319,0.173605736,0.105752348,0.102242605,0.444792992
0.175460927,0.17546023,0.103159475,0.104687769,0.441231598
0.16726219,0.167261502,0.095838032,0.093532941,0.476105334
0.158703352,0.158702878,0.108005906,0.08611608,0.488471783
0.208203584,0.20820254,0.094814866,0.102849337,0.385929672
0.190660202,0.190659416,0.107955074,0.118807467,0.39191784
0.195013272,0.195012803,0.134942598,0.129749791,0.345281537
0.182929572,0.182928934,0.110779409,0.111212245,0.41214984
0.187763269,0.187762716,0.120359893,0.113492821,0.390621301
0.159802872,0.159802277,0.096530381,0.087150606,0.496713864
0.209731766,0.209731298,0.121081561,0.104828355,0.35462702
0.166123435,0.166123051,0.120337222,0.095088427,0.452327866
0.195432653,0.19543242,0.160158664,0.126025359,0.322950905
0.175327603,0.175327161,0.124877862,0.103431281,0.421036093
0.192283423,0.192282667,0.11788958,0.126412447,0.371131884
0.211431448,0.211430384,0.114363487,0.150164898,0.312609783
0.159325026,0.159324451,0.098156649,0.08003884,0.503155034
0.18668699,0.186686718,0.15644415,0.12926397,0.340918173
0.153819279,0.153818759,0.097607668,0.084490374,0.51026392
0.188223408,0.188223162,0.153335884,0.115987103,0.354230441
0.198436702,0.198435653,0.109429843,0.138280982,0.35541682
0.161499845,0.161499376,0.107208324,0.089055212,0.480737244
0.184296947,0.184296634,0.146434567,0.118248912,0.36672294
0.181998825,0.181998329,0.12566611,0.110369094,0.399967642
0.195714333,0.195713877,0.120766909,0.109746746,0.378058136
0.193170673,0.193170262,0.137911363,0.118315081,0.357432621
0.198190359,0.198190131,0.156698031,0.123900387,0.323021092
0.195332668,0.195332513,0.167691243,0.12773613,0.313907447
0.179896307,0.179895652,0.121440744,0.114507317,0.40425998
