C1,C2,C3,C4,C5,C6
0.233988108,0.176171209,0.107758566,0.17693144,0.128219229,0.176931447
0.218524994,0.159939696,0.116019551,0.183053802,0.139408149,0.183053808
0.240505287,0.192450544,0.103913851,0.170531587,0.122067139,0.170531593
0.229284238,0.184902846,0.111179683,0.173210482,0.128212263,0.173210488
0.240201496,0.225615099,0.102299362,0.161825039,0.108233972,0.161825031
0.241014275,0.225576811,0.101801175,0.161724905,0.108157937,0.161724897
0.283847305,0.301555669,0.053703627,0.129858302,0.101176747,0.12985835
0.257821972,0.376681436,0.055005052,0.116353304,0.077784916,0.11635332
0.154734697,0.102030947,0.115155371,0.229619857,0.168839118,0.229620009
0.161683193,0.102946138,0.109336186,0.235727131,0.154580073,0.23572728
0.142623321,0.103253258,0.089778102,0.188743643,0.286857874,0.188743802
0.157674466,0.106537494,0.107308863,0.22262824,0.183222535,0.222628401
0.097166985,0.06188765,0.036697186,0.11142497,0.581398101,0.111425108
0.143651174,0.095512521,0.073032074,0.187952909,0.311898216,0.187953107
0.135908413,0.080596022,0.065527447,0.17475584,0.36845627,0.174756009
0.065368336,0.042066756,0.025692879,0.075025863,0.716820219,0.075025947
0.175632403,0.120041548,0.091777711,0.190712309,0.231123606,0.190712424
0.182160845,0.127178768,0.093070271,0.18628648,0.225017063,0.186286573
0.160815872,0.110539356,0.084249401,0.209197143,0.226000882,0.209197345
0.14496721,0.094381065,0.129539629,0.24646835,0.138175315,0.246468432
0.160120647,0.115069585,0.124977945,0.215622035,0.168587667,0.215622119
0.118665848,0.076423075,0.063791933,0.171115685,0.398887599,0.17111586
0.144860349,0.092143423,0.07437005,0.19592474,0.296776487,0.195924951
